Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
31072 Uberaba,"1.445,39","1.415,49","1.550,39","1.490,58","1.425,72","1.498,19","1.415,47","1.350,27","1.540,50","1.571,74","1.359,85","1.727,26","1.571,66","1.633,73","1.515,23","1.665,59","1.668,93","1.506,91","1.666,28","1.499,05","1.471,33","1.649,05","1.325,10","1.513,88","1.444,57","1.561,71","1.489,34","1.561,98","1.599,41","1.383,28","1.379,56","1.767,45","1.524,99","1.612,22","1.759,69","1.400,76","1.485,79","1.562,46","1.380,23","1.480,65","1.508,70","1.476,21","1.638,73","1.679,32","1.462,91","1.484,31","1.352,46","1.597,11","1.763,66","1.536,96","1.707,53","1.720,39","1.539,18","1.514,45","1.665,29","1.389,83","1.477,75","1.471,85","1.637,90","1.517,03","1.537,90","1.554,49","1.578,59","1.497,11","1.720,68","1.717,31","1.540,55","1.670,09","1.679,19","1.647,21","1.423,70","1.704,76","1.481,59","1.652,54","1.813,33","1.810,32","1.713,47","1.793,62","1.793,50","1.577,14","1.817,54","1.580,36","1.513,48","1.759,11","1.779,05","1.603,76","1.893,15","1.702,97","2.105,41","1.742,36","1.600,59","1.665,58","1.723,41","1.788,61","1.469,94","1.780,89","1.839,70","1.850,86","1.581,13","1.633,73","1.726,78","1.762,40","1.661,64","1.705,79","1.767,26","1.644,80","1.708,30","1.577,32","1.651,44","1.790,68","1.667,30","1.612,58","1.572,15","1.549,11","1.520,49","1.640,18","1.565,70","1.494,57","1.648,65","1.602,34","1.662,50","1.674,04","1.682,91","1.877,11","1.730,87","2.074,86","2.182,25","2.403,39","2.397,93","2.424,04","2.108,38","1.978,55","1.943,19","2.029,89","2.617,46","2.639,74","2.416,23","2.785,93","2.988,66","3.112,18","3.200,84","3.101,78","2.809,01","2.625,85","2.085,83","2.023,36","2.144,97","2.285,29","2.072,94","1.992,90","1.854,69","2.127,63","2.079,87","1.898,23","1.932,62","2.092,18","1.863,62","2.017,32","1.908,50","2.198,88","1.739,46","2.148,21","2.042,92","2.071,23","1.908,26","2.132,32","2.069,40","2.093,30","2.124,68","1.845,07","2.035,65","1.869,33","2.002,39","2.136,01","2.048,42","2.169,78","2.117,57","1.999,78","2.088,70","2.183,87","2.159,63","2.068,84","1.750,82","2.164,62","1.909,16","1.991,60","2.057,39","2.295,79","2.013,11","2.039,39","2.264,98","2.519,77","1.828,10"
31073 Ituiutaba,"718,48","658,09","645,86","718,76","724,39","739,65","746,88","741,34","678,18","693,53","690,09","732,14","713,44","693,03","659,84","693,81","737,61","743,53","720,95","736,2","753,32","690,06","645,11","678,66","655,79","666,5","692,01","698,19","725,51","729,68","736,3","717,64","742,63","701,97","657,67","677,06","688,42","655,76","695,78","705,5","704,77","680,43","722,98","720,64","678,49","653,32","639,27","644,28","674,65","696,62","695,38",738,"760,45","720,38","775,82","709,3","729,58","705,92","715,91","627,37","670,38","712,67","726,68","739,07","730,1","747,09","710,4","647,51","676,04","650,23","616,07","655,1","660,89","681,87","504,82","590,06","671,16","690,91","677,02","687,47","660,8","673,85","666,52","653,86","672,08","629,76","654,82","689,62","662,94","707,3","797,39","735,86","730,19","795,11","739,52","767,79","675,32","772,41","704,78","757,46","799,48","737,1","772,09","812,59","740,27","728,06","773,56","878,01","813,05","777,84","801,61","724,78","852,5","729,15","800,79","852,65","799,21","729,72","798,88","827,45","762,14","741,53","752,79","790,85","851,77","892,27","966,61","1.010,31","952,78","727,76","904,82","875,44","1.280,44","1.511,37","1.527,52","1.612,87","1.950,74","2.235,22","1.933,51","2.335,70","1.525,81","1.138,39","898,23","845,61","1.251,10","1.280,45","901,66","932,9","881,95","881,97","996,12","940,08","955,44","995,54","920,2","1.079,57","939,39","1.059,77","1.056,30","1.013,20","1.060,13","1.082,58","1.112,94","983,12","939,99","933,97","961,48","1.008,78","1.080,21","1.265,93","1.249,16","1.085,30","1.154,38","1.096,99","1.081,09","1.103,07","1.306,09","1.323,20","1.402,15","1.196,82","1.151,12","1.009,18","1.073,65","1.125,00","1.158,92","1.075,54","1.244,33","1.157,15","1.268,79","1.234,30","1.342,73","1.341,07","870,46"
31074 Patrocínio/Monte Carmelo,"511,81","673,41","689,82","652,13","631,21","707,9","675,2","732,83","655,96","713,41","677,42","695,39","632,88","682,87","707,99","679,54","707,44","669,91","694,41","696,58","684,24","686,21","722,17","642,39","688,46","680,08","668,35","694,21","756,47","699,99","627,91","693,19","713,67","622,05","726,25","692,06","733,21","680,62","691,82","712,55","657,76","670,57","691,27","664,18","653,18","601,79","641,11","645,34","661,4","617,4","711,54","627,96","699,51","697,39","658,63","651,26","678,51","661,71","636,56","696,09","712,19","643,12","701,46","743,16","770,76","785,26","778,9","806,51","697,47","716,05","703,59","768,19","784,74","865,12","739,08","769,22","828,07","829,93","792,32","829,22","798,56","764,11","805,97","728,81","928,2","831,09","797,84","827,98","953,48","807,28","850,93","982,33","868,99","955,29","953,07","941,94","878,13","900,88","760,49","843,7","914,02","847,14","874,78","827,87","859,82","801,21","803,41","885,98","921,43","805,92","870,06","818,44","866,26","795,92","912,65","874,6","752,17","849,02","806,17","925,52","845,53","829,36","819,7","867,39","1.017,22","988,38","1.408,88","1.481,96","1.372,26","1.241,96","908,29","933,71","1.232,44","1.789,63","1.731,56","2.412,34","2.837,32","2.488,02","1.790,97","1.477,64","1.132,36","1.243,81","1.073,49","931,64","1.006,53","1.189,15","1.016,46","1.018,24","1.102,73","1.076,10","1.179,45","1.042,50","1.007,46","1.081,79","973,64","946,77","1.065,31","1.025,28","1.045,66","1.183,73","1.083,98","1.138,58","1.269,88","1.145,04","1.280,52","1.114,35","1.109,51","1.275,62","1.242,64","1.195,19","1.220,43","1.245,67","1.262,84","1.290,38","1.474,76","1.613,06","1.675,68","1.722,63","1.654,22","1.881,73","1.302,58","1.481,93","1.348,37","1.448,13","1.659,27","1.776,16","1.631,43","1.886,59","1.942,20","1.915,48","1.757,68","1.889,47","997,29"
31075 Uberlândia/Araguari,"1.500,65","1.325,36","1.145,66","1.255,40","1.255,38","1.345,56","1.297,49","1.192,21","1.231,20","1.342,39","1.412,56","1.354,51","1.486,25","1.427,94","1.304,98","1.355,64","1.340,12","1.312,88","1.400,50","1.584,08","1.553,08","1.517,14","1.441,88","1.516,07","1.517,41","1.390,37","1.670,77","1.561,23","1.542,39","1.442,94","1.473,64","1.607,73","1.740,38","1.555,83","1.563,75","1.539,75","1.748,44","1.614,80","1.916,33","1.765,48","1.695,17","1.828,61","1.996,82","1.727,26","1.745,74","1.766,16","1.716,97","1.695,71","1.873,58","1.632,30","1.694,97","1.387,73","1.829,97","1.711,38","1.639,91","1.813,60","1.655,73","1.842,81","1.745,86","1.818,80","1.841,35","1.813,48","1.644,19","1.613,25","1.644,23","1.743,94","1.606,64","1.705,04","1.822,77","1.603,80","1.723,15","1.759,23","1.767,20","1.744,36","1.615,48","1.598,34","1.650,01","1.642,72","1.728,26","1.746,50","1.743,75","1.675,69","1.672,37","1.771,86","1.810,46","1.855,01","1.589,89","1.662,38","1.716,17","1.768,07","1.767,00","1.879,18","1.877,73","1.939,45","1.751,15","1.905,22","1.768,24","1.874,32","1.724,95","1.687,66","1.809,59","1.744,20","1.665,96","1.854,28","1.775,98","2.079,20","1.812,96","1.824,08","2.020,80","1.583,73","1.827,23","1.668,13","1.571,65","1.727,53","1.800,06","1.559,99","1.845,54","1.694,17","1.835,93","1.644,02","1.812,22","1.561,22","1.654,52","1.912,42","1.771,34","1.774,45","1.732,11","2.060,78","1.956,18","2.373,95","2.098,19","2.063,54","2.450,32","2.370,44","2.391,99","2.434,02","2.259,79","2.689,76","2.456,65","2.533,04","2.300,75","2.625,94","2.441,96","2.140,15","1.784,87","1.596,54","1.751,82","2.031,98","1.768,64","1.795,17","1.813,53","1.915,03","1.876,73","1.930,10","1.778,73","2.076,98","1.804,14","1.574,62","1.793,32","1.663,62","1.780,97","1.763,50","1.692,26","1.771,41","1.725,41","1.717,58","1.797,30","1.807,80","1.667,45","1.799,94","1.768,98","1.872,34","1.655,54","1.772,89","1.975,11","2.053,92","2.026,42","2.218,13","2.018,48","2.116,54","2.073,47","1.714,58","1.796,40","1.959,14","1.864,55","1.910,19","1.888,43","2.086,96","2.103,79","2.303,25","2.108,70","2.255,86","1.797,24"
31076 Manga,"373,56","397,6","385,05","394,05","403,55","398,25","410,03","387,42","369,14","387,77","384,33","397,28","409,67","400,82","396,83","414,69","425,44","395,92","424,68","414,18","412,73","386,99","399,9","412,13","422,38","412,73","417,91","408,72","413,94","407,06","413,05","392,4","406,3","416,72","376,57","420,82","437,66","436,31","407,88","430,08","410,57","424,15","421,39","464,94","396,38","419,75","434,57","439,47","396,85","418,41","381,75","432,58","431,56","421,81","467,12","446,17","432,89","403,99","406,58","439,68","470,53","423,61","478,45","414,1","424,29","438,09","443,91","453,47","479,87","440,74","439,06","477,03","438,7","438,34","468,43","454,51","467,86","460,52","429,91","470,47","463,97","422,85","474,19","446,29","410,4","434,47","455,92","453,88","460,35",478,"478,67","452,92","478,25","464,39","459,64","448,27","449,07","456,92","454,18","440,72","438,25","456,16","443,84","449,84","460,93","468,02","449,89","465,49","453,85","455,04","447,25","436,86","471,65","449,27","445,76","434,67","432,13","399,67","421,17","447,7","433,12","427,4","444,39","424,67","458,39","432,93","452,78","449,29","472,99","441,87","540,32","521,09","561,32","489,71","664,79","692,16","554,34","571,83","527,48","731,88","453,63","522,89","584,09","475,32","549,16","501,03","470,43","445,37","449,3","448,16","429,62","464,26","426,28","440,13","472,66","420,33","457,47","467,12","443,72","443,44","583,75","614,54","551,51","655,31","693,4","720,75","576,57","511,2","513,55","595,49","896,51","956,58","1.056,37","831,77","726,94","531,07","487,04","507,9","504,35","501,55","692,17",599,"504,46","662,44","964,86","526,71","482,65","634,16","1.023,43","1.100,62","1.020,54","968,47","498,15"
31077 João Pinheiro,"442,23","433,79","456,98","482,5","466,26","466,02","486,45","492,77","469,49","499,09","435,1","456,52","476,77","423,48","440,17","469,80","475,19","453,02","412,24","484,48","462,36","469,01","375,12","415,4","387,98","389,91","446,05","473,14","423,54","445,45","446,74","453,8","420,43","407,47","399,33","384,24","350,88","444,31","426,34","423,26","403,98","440,13","385,01","426,36","377,89","413,42","389,29","430,83","421,31","450,4","399,82","407,15","470,24","452,92","458,04","443,99","432,83","444,1","468,44","457,12","445,11","477,42","460,41","462,77","485,03","469,51","441,34","447,16","447,92","405,79","410,1","473,14","484,8","426,8","420,66","439,17","441,18","459,52","417,87","446,4","414,05","399,88","418,49","434,81","433,91","414,02","421,91","445,48","461,16","444,87","454,77","420,42","424,05","443,97","424,86","459,82","419,47","422,73","449,04","453,86","457,03","471,13","494,43","497,76","468,11","449,36","453,04","467,69","431,88","419,39","448,74","461,13","499,7","453,21","439,81","486,04","438,07","479,92","436,14","487,19","460,26","440,38","459,18","453,65","461,84","455,44","497,49","506,5","521,4","537,62","515,78","607,27","613,41","647,17","739,97","1.124,54","1.956,44","5.202,79","1.579,54","1.298,98","4.275,65","1.626,22","595,5","568,3","727,41","2.061,85","646,54","595,42","553,22","932,6","821,75","793,18","1.152,71","1.257,95","691,88","982,87","1.263,87","1.006,07","1.038,03","1.002,04","772,9","1.168,50","881,04","899,39","1.371,02","1.064,47","1.217,54","1.047,92","1.345,69","901,27","1.056,69","1.622,71","1.085,48","1.057,01","1.348,09","1.162,81","1.455,78","960,7","1.315,39","1.567,20","1.257,03","1.214,31","1.247,64","814,18","1.427,23","1.239,82","1.380,40","1.508,47","1.864,24","1.571,54","1.596,89","1.381,27","704,1"
31078 Congonhas,"450,35","442,87","440,46","465,51","471,04","475,82","464,75","492,09","446,83","453,33","463,04","453,07","451,49","455,46","468,87","446,55","491,75","473,87","479,23","461,24","462,19","441,47","445,57","440,86","446,16","456,88","466,48","482,06","473,33","459,7","470,11","482,57","464,26","508,14","491,55","495,78","494,96","468,41","478,38","474,46","501,16","483,78","507,28","513,23","518,15","506,99","484,58","467,12","488,93","491,09","511,2","554,58","560,45","604,21","608,71","643,58","634,72","648,16","576,34","610,98","618,57","518,18","556,03","643,75","660,47","647,06","513,03","512,58","558,87","530,35","543,28","554,79","551,04","461,63","478,74","470,42","481,7",481,"499,27","483,04","472,63","447,81","474,83","470,1","469,47","484,33","511,59","485,96","511,91","524,52","518,36","509,81","488,88","476,02","463,4","489,54","452,78","450,28","465,17","492,35","496,55","472,27","525,35","496,12","494,63","504,47","519,57","516,03","464,79","506,08","512,21","518,9","521,61","524,95","548,44","521,47","534,66","534,66","548,94","577,01","517,31","495,65","479,74","512,95","524,88","541,23","553,85","559,5","940,99","524,57","617,47","620,67","647,44","708,58","836,3","910,95","960,86","870,39","842,9","687,59","627,7","579,94","545,5","586,09","550,84","589,34","582,31","489,38","564,91","529,18","516,46","568,53","594,88","492,01","609,14","540,42","550,27","532,38","526,2","552,69","582,63","653,31","612,19","623,89","655,45","670,17","634,61","604,05","606,38","687,02","667,95","746,98","633,35","668,79","658,49","664,61","651,63","759,37","726,63","829,76","655,18","679,51","725,19","777,93","746,78","874,15","715,49","805,4","792,17","819,68","783,55","981,6","568,01"
31079 Conselheiro Lafaiete,"588,87","543,18","567,74","577,89","586,52","550,32","584,66","522,3","601,53","560,99","626,10","569,88","571,50","600,41","570,33","606,33","652,02","556,17","614,73","607,92","608,33","579,04","592,54","554,81","601,49","641,16","622,68","588,51","575,02","598,4","621,97","620,83","562,77","594,29","654,95","594,47","672,57","641,17","614,83","617,31","623,7","603,93","796,85","692,26","648,76","701,9","661,99","771,28","730,53","805,53","873,57","923,35","741,27","755,69","717,2","697,86","700,63","719,1","661,27","686,2","707,99","746,97","715,28","717,4","773,99","758,72","725,83","776,72","794,73","711,63","834,62","711,07","791,08","741,95","733,37","694,04","750,58","735,59","798,52","736,57","761,88","733,95","802,43","744,47","752,07","743,24","701,9","776,93","746,4","794,2","754,95","843,63","768,11","789,45","742,35","755,2","782,67","795,04","771,04","741,26","766,14","794,19","819,83","895,67","886,97","855,7","726,78","988,58","813,97","910,04","795,65","842,86","869,81","892,14","911,28","909,99","840,35","789,58","819,7","915,63","840,55","906,8","900,69","1.052,95","849,44","1.074,33","1.299,96","1.434,55","1.576,66","1.472,50","1.086,44","1.012,28","1.372,13","1.940,58","2.566,70","2.701,55","3.053,50","3.478,35","3.001,96","1.696,84","1.245,41","1.541,75","1.204,48","963,8","1.010,32","1.476,91","1.678,45","1.307,82","1.199,71","1.170,42","1.363,76","1.254,83","1.212,26","1.366,49","1.230,85","1.347,30","1.365,68","1.308,88","1.294,05","1.381,70","1.410,10","1.496,37","1.450,17","1.470,68","1.248,30","1.361,95","1.282,91","1.325,67","1.137,27","1.253,63","1.211,06","1.135,81","1.041,97","1.354,20","1.453,97","1.523,56","1.327,25","1.592,47","1.317,38","1.602,60","1.311,63","1.341,31","1.404,64","1.504,46","1.392,88","1.420,44","1.395,22","1.510,32","1.561,30","1.242,55","1.272,85","1.105,40","936,33"
31082 São Gotardo,"427,93","401,54","440,02","424,41","414,98","411,13","431,63","424,43","443,67","426,39","420,02","447,39","466,81","445,54",472,"452,55","443,13","482,69","471,77","454,62","453,56","454,74","459,81","449,93","417,68","453,86","466,2","475,59","499,75","465,27","475,16","437,06","468,76","442,99","465,37","431,39","417,42","401,32","425,66","448,25","476,84","493,86","501,84","478,6","486,93","476,04","492,3","466,98","568,89","574,02","558,43","569,27","553,8","627,17","525,87","587,21","521,52","582,43","624,7","692,39","559,93","635,42","692,91","656,97","644,23","660,85","574,34","537,88","524,15","457,54","533,83","450,67","518,29","464,13","486,89","503,54","558,41","550,03","492,27","544,88","462,87","465,83","465,82","476,27","441,06","459,53","451,65","474,13","457,41","457,05","467,42","449,15","477,4","540,43","503,31","503,46","490,49","496,68","485,77","457,68","476,36","443,02","593,12","499,2","536,63","474,73","514,91","502,68","485,46","550,08","548,21","538,75","551,47","547,51","543,12","534,26","582,69","566,46","514,58","434,95","497,76","459,65","460,05","446,69","455,29","498,15","689,1","632,76","642,37","565,61","509,92","515,25",597,"778,52","853,5","641,78","1.746,18","2.321,80","2.278,52","1.676,68","1.554,26","805,63","589,21","512,06","572,37","796,54","539,78","545,35","544,54","508,13","549,49","553,59","547,92","582,91","561,21","548,01","534,95","537,53","570,78","531,69","540,82","532,04","614,22","640,74","627,64","571,77","575,03","560,82","632,42","585,88","634,08","623,38","671,6","560,41","592,59","601,18","735,43","814,89","790,75","885,35","760,18","703,05","764,8","723,58","841,2","739,82","730,91","788,73","839,9","813,6","967,15","776,95","588,85"
31083 Bocaiúva,"502,98","500,94","511,96","527,09","501,44","498,37","481,43","487,66","459,67","521,83","515,98","503,6","515,03","508,82","520,32","512,22","515,43","496,63","527,17","512,51","505,8","510,76","495,8",485,"500,41","476,79","505,51","482,97","512,31","507,02","490,71","483,62","489,52","488,17","482,94","473,48","477,13","472,48","494,8","507,6","506,8","521,02","500,75","478,03","518,98","505,77","503,54","499,77","493,44","503,62","497,52","518,85","529,47","505,16","505,46","530,68","498,29","493,56","511,7","495,29","476,47","468,77","449,22","502,5","493,07","492,49","455,39","458,51","495,2","448,34","493,04","446,06","465,52","438,73","465,12","491,98","474,35","465,84","446,54","452,45","475,51","463,5","454,78","433,85","448,84","481,64","493,72","495,07","482,9","493,2","501,19","492,71","456,24","471,85","486,78","461,77","449,84","438,21","468,93","466,69","497,27","472,46","453,49","463,64","457,82","441,8","446,68","443,68","481,12","458,07","457,95","462,71","453,35","460,63","482,41","485,77","466,15","443,6","487,74","424,38","444,38","470,34","501,94","492,39","475,17","526,76","447,23","457,27","486,01","447,18","489,8","476,05","495,07","541,81","662,94","729,8","585,44","687,15","597,42","608,03","510,83","492,67","562,03","575,65","549,85","563,24","489,11","465,7","461,69","480,55","495,72","479,03","484,76","475,88","495,64","496,07","506,9","506,08","455,95","484,78",501,"477,29","513,28","519,73","550,44","560,44","459,64","439,6","445,69","441,95","472,33","481,39","497,76","507,48","619,73","604,46","612,51","659,98","553,71","554,16","483,54","524,52","546,59","540,29","507,34","500,12","560,95","551,62","636,47","666,98","794,08","628,98","503,29"
31084 Montes Claros,"1.505,78","1.435,14","1.537,86","1.430,33","1.471,29","1.576,07","1.436,42","1.439,85","1.391,65","1.513,88","1.465,62","1.667,71","1.498,83","1.520,50","1.531,53","1.680,56","1.423,79","1.270,12","1.625,51","1.627,86","1.756,15","1.900,56","1.651,11","1.666,08","1.561,98","1.537,37","1.685,17","1.654,19","1.637,56","1.613,59","1.652,22","1.615,29","1.803,05","1.629,15","1.612,24","1.816,57","1.686,92","1.751,95","1.564,88","1.644,22","1.719,99","1.920,95","1.884,68","1.604,36","1.573,58","1.759,26","1.760,54","1.831,62","1.667,11","1.842,63","1.692,00","1.641,21","1.717,97","1.725,72","1.750,71","1.768,77","1.920,21","1.822,45","1.769,70","1.729,93","1.614,97","1.925,89","1.665,70","1.666,37","1.789,00","1.727,57","1.883,52","1.787,21","2.148,63","1.841,79","1.813,35","1.763,06","1.864,88","1.703,34","1.706,54","1.669,27","1.705,77","1.770,06","1.824,18","1.672,17","1.731,26","1.672,75","1.969,72","1.855,47","1.935,73","1.869,65","2.122,49","1.947,48","1.784,66","1.830,27","1.801,09","1.991,79","1.922,85","1.997,45","1.905,90","1.789,23","1.946,78","1.698,24","1.781,69","1.671,75","1.818,84","1.783,12","1.872,29","1.759,01","1.729,97","1.580,36","1.600,60","1.762,24","1.713,16","1.536,84","1.681,47","1.645,93","1.762,18","1.682,29","1.736,18","1.803,87","1.734,83","2.053,11","1.779,72","1.906,84","1.901,00","1.874,01","1.869,05","2.238,87","1.958,46","2.258,64","2.282,27","2.200,10","2.418,16","2.564,87","2.283,84","2.361,48","2.236,25","2.435,45","2.457,80","2.536,45","3.051,11","3.196,96","3.138,74","2.993,56","2.796,22","2.450,82","2.138,25","2.037,12","2.193,73","2.204,21","2.214,38","2.101,86","2.042,49","2.054,62","2.221,08","2.001,72","2.225,32","2.063,25","2.343,79","2.288,88","2.237,04","2.273,30","2.360,20","2.143,02","2.362,57","1.970,92","2.435,77","2.321,87","2.132,84","2.233,23","2.395,32","2.287,17","2.412,37","2.152,97","2.349,08","2.085,04","2.028,55","2.074,67","2.628,78","2.196,67","2.376,44","2.291,13","2.283,73","2.213,66","2.321,75","2.300,72","2.247,68","2.275,69","2.231,83","2.204,88","2.295,71","2.316,77","2.334,62","2.328,31","2.490,29","2.467,39","1.957,62"
31085 Taiobeiras,"450,09","478,66","457,41","476,28","625,34","610,26","713,79","743,11","717,05","726,46","649,62","685,68","696,67","691,15","653,23","730,04","727,82","666,3","710,24","710,19","695,35","712,91","696,86","721,3","702,26","734,13","724,65","736,85","727,59","741,68","769,6","772,14","742,21","735,26","724,6","727,03","729,23","698,63","688,48","735,89","704,55","684,53","738,64","740,85","711,91","731,04","722,76","743,64","678,31","697,38","723,16","746,04","755,23","751,58","723,05","741,01","761,38","716,05","712,45","710,19","730,84","763,53","696,77","683,54","688,75","734,06","710,55","718,85","692,64","690,28","762,76","758,24","747,9","762,46","725,65","762,39","775,42","742,2","765,81","707,05","766,55","729,32","741,45","719,01","763,84","757,93","775,44","733,1","744,04","728,38","746,92","788,34","761,18","749,75","767,35","753,41","709,47","751,57","736,92","763,41","720,55","747,88","744,05","756,64","706,29","752,47","793,48","795,16","891,89","819,64","824,49","868,33","838,35","837,78","830,07","891,21","828,03","815,76","812,14","797,65","864,47","911,84","908,24","979,43","999,07","1.057,35","1.025,82","1.133,53","1.213,05","936,66","877,72","878,89","985,14","812,26","967,16","2.005,48","1.353,65","1.413,12","1.496,09","1.194,34","1.081,87","954,4","922,68","902,58","846,99","1.074,37","988,01","954,21","929,02","906,66","914,33","967,68","960,06","910,72","952,03","1.017,59","921,63","974,66","854,1","1.000,03","866,12","913,6","944,87","1.114,27","1.064,07","982,23","1.083,57","1.067,90","939,01",970,"1.024,57","1.006,15","1.039,06","904,19","1.003,37","1.021,09","995,41","1.138,31","1.127,53","1.122,75","979,83","1.045,35","984,96","994,18","1.104,19","1.027,86","1.201,67","1.326,65","1.258,22","1.226,83","1.228,52","1.131,34","873,37"
31086 Divinópolis,"1.429,24","1.443,36","1.481,02","1.275,01","1.455,13","1.461,65","1.290,87","1.558,83","1.486,34","1.367,50","1.375,16","1.305,89","1.482,80","1.529,37","1.316,73","1.280,53","1.374,29","1.272,86","1.485,56","1.595,64","1.271,74","1.584,08","1.532,81","1.687,56","1.625,42","1.599,69","1.441,46","1.446,45","1.248,94","1.484,37","1.511,65","1.674,14","1.387,33","1.472,48","1.518,69","1.799,66","1.544,51","1.567,41","1.541,53","1.556,76","1.702,59","1.641,18","1.686,28","1.768,34","1.618,61","2.291,05","1.661,71","1.727,96","1.591,98","1.463,19","1.529,24","1.767,66","1.881,36","1.344,38","1.392,73","1.656,67","1.553,28","1.705,71","1.711,79","1.923,48","1.775,85","2.150,22","1.844,95","1.730,87","1.610,04","1.577,64","1.823,50","1.826,69","1.535,09","1.648,78","1.780,13","1.470,80","1.414,35","1.554,21","1.576,19","1.660,83","1.493,27","1.886,37","1.949,46","1.641,79","1.955,74","1.696,56","1.867,91","1.880,14","1.778,72","1.843,48","2.046,60","2.074,76","2.234,80","2.109,63","2.329,09","2.189,17","2.285,34","2.182,76","2.096,34","2.153,20","1.972,36","2.390,45","2.129,97","2.097,44","2.087,67","2.249,24","2.378,02","1.839,51","2.376,76","2.117,13","2.410,28","2.334,09","2.686,98","2.289,38","2.076,61","2.208,92","2.200,97","2.214,59","2.447,60","2.544,98","2.300,72","2.349,99","2.239,51","2.402,41","2.375,01","2.281,94","2.047,26","2.391,94","2.266,58","2.386,44","2.554,62","2.590,38","2.274,61","2.321,55","2.361,54","2.361,27","2.392,68","2.419,93","2.659,20","2.582,11","3.255,87","2.581,94","2.376,14","2.398,20","2.088,85","2.557,73","2.571,24","2.447,55","2.631,67","2.069,82","2.249,94","2.174,29","2.145,96","2.295,32","2.254,43","2.290,95","2.398,07","2.305,15","2.810,37","2.344,99","2.202,81","2.103,24","2.451,23","2.372,33","2.415,95","2.505,48","2.442,65","2.752,97","2.289,04","2.263,05","2.472,35","2.324,88","2.485,92","2.398,32","2.361,88","2.492,15","1.976,46","2.042,95","2.240,61","3.529,44","3.129,15","3.033,65","2.925,42","3.279,24","2.902,87","2.634,21","3.856,55","3.794,63","3.574,52","3.558,46","3.379,75","3.584,55","3.381,23","3.379,83","3.107,90","3.993,10","2.171,99"
